content,mid,like
说到肉，杭州的猪爸，是我吃过感觉相对不错的，当然最好吃的还是老婆做的红烧肉[doge],47999853,2
预制菜都这么多人排队捏,22214889,3
如果味道和价格一直没变，那有可能是大伙生活水平提高了,12629157,2
老王越来越大胆了，都要给毛毛做一桌子菜了[doge],335348677,1
感觉中餐的特点就是去一个地方，一个饭馆都会有自己的特色，某一道菜会很好吃，某一道菜很有特色，某一道菜很一般，搞预制菜的结果就是毫无特色[doge][doge][doge],117677354,1
以前第一次是在武汉吃的，那时候感觉挺好吃的，然后本地也开了一家，不好吃，味道跟以前差很多，从此没有再去,23687534,0
推荐王师傅和小毛毛上再见爱人哟,28886486,3
谁会抵制预制菜啊，工业化生产，稳定的口味，可靠的品质，物美价廉。抵制的是用料差，卫生堪忧，大量添加剂防腐剂，还贵的一批的智商税预制菜,232701743,0
外婆家，当我没生活费却又想下馆子的时候，就会去吃[脱单doge],168918085,1
一分钟前，我快不快[脱单doge],56891217,3
他们总是会给我一些无法拒绝的点赞理由[跪了],23087423,2
去年在外婆家，点了蒜蓉粉丝虾、毛血旺、水煮牛肉（没记错的话），价格也不算便宜，没一个好吃的，虾很嫩很嫩但是没有虾味，其他两个辣菜，很不辣，看着上面一层红油辣椒，辣度只能算微辣，不香。我口淡的人，觉得三个菜调味都比较烦淡。最不满意的是温度，上菜都是温的，那两个有红油辣椒的，温温地上来，麻辣鲜香烫里的“烫”已经没有了。大概8年还是10年前，外婆家的味道不是这样的，味道和价格都可圈可点,88786882,1
"怎么说呢
作为杭州人多少人带点回忆吧
毕竟小时候杭州也就是个三线城市
和同学和家人去的确实很多
主要是离当时的家比较近",37069355,1
这家店唯一吃过一次好像是小时候在顾村公园门口……具体怎么样忘了,499455458,2
外婆家感觉很迷，有几次去吃很好吃，有几次吃巨难吃，不知道他们咋整的[笑哭],36082146,2
现在的人都练出来了是吧，一顿饭20多块钱一个菜一碗饭都很便宜了？我点外卖超过20的都觉得不划算，量少还贵不如自己做...是我老了吧,1551703,0
外婆家现在真是，网上人人喊打，痛心疾首啊！ 现在的网红也整天就是找茬为乐。十几年前，外婆家刚刚红火的时候，真的还蛮好吃的，对于我们学生党来说，吃一顿外婆家还挺开心的,385731146,1
外婆家在国内已经完成历史任务了，就像一把筛子筛走了难吃到离谱的饭店。真的，第一口咸鱼笋干扣肉的时候我是很惊喜的，现在真的越来越答辩,339021975,0
王师傅要是自己开个饭店，我一定会去吃,286516678,2
我记得我初中时候杭州刚开始有外婆家，那时候还有特价菜，好像三块钱一盘炒土豆丝。,18427590,1
王师傅成长了，爸爸粉很欣慰[嗑瓜子],34411259,2
在杭州的时候和朋友聚餐不是外婆家就是绿茶，新白鹿，不过吃多了发现外婆家是第一个开始不好吃的[笑哭],7837558,0
"外婆家的价格是普通中餐馆的价格，当我实在不知道吃什么的时候我会去吃外婆家，因为至少不难吃。
对于专业人士来说，目前几个头部up没有说外婆家好吃的，但是我曾经把外婆家的热菜不包含海鲜类都吃过一遍，其实感觉还是不错的（不过我很少遇到特别不喜欢吃的菜馆）
怀念以前3块还不是4块的麻婆豆腐",1435732793,0
[doge]错误的，20w就去新白鹿了，建议大家取消赞控制在15-20之间让老王做饭,39562797,0
我记得外婆红烧肉里边有咸鱼一起的。我不喜欢咸鱼味道，吃了一次，就不点了。,34167054,2
外婆家我还记得我小时候长辈说是黄埔的和静安好吃 其他都不行 现在已经都不行了吗[笑哭],37792315,1
00:14 [星星眼][星星眼]我老公肯定是因为喜欢做菜，而不是为了15w赞[脱单doge],37312804,2
外婆家，我小学初中去吃过觉得还行，现在大学了就不清楚了,73850211,0
12年去上海上大学，那时候五角场外婆家是我们寝室去的高端餐饮，一般过生日啥的才去[妙啊],3232429,0
点赞到35W王师傅去新白鹿给小毛毛做红烧肉！[滑稽],285853194,1
感觉外婆家没以前好吃[笑哭],2044905,1
[吃瓜]预制菜餐厅在全国大部分地方比小餐馆都贵，人家真的是现场做的新鲜的，味道也是人家的好，预制菜唯一的优点就是，可能会卫生点,9094588,0
我记得我小学的时候（零几年）家里人差不多每两周都会去一次，那个时候生意也好味道也好，去那边属于是吃大餐了,9143458,1
"外婆家的可乐多少钱
王师傅：我猜五块
毛毛：我猜 八块
弹幕：我猜你们在一块",373928450,1
我以前在上海念书的时候经常吃外婆家 那会儿觉得好吃的 可是这几年觉得一点儿也不好吃了,313075174,1
外婆家也就是去吃特价麻婆豆腐。菜一直也没觉得好吃。,441571966,2
你是快餐店做预制菜，卖快餐价格就没问题。但是我为什么要去大的餐厅用高价吃预制菜水平的菜?,230305763,1
点赞的不要再点了，我觉得大家更希望看到王师傅做饭给毛毛吧。新白鹿啥时候都行,296423902,2
终于要去我吃过的店了吗[微笑]杭州溜达一圈就去那么几家，新白鹿还算给我留下印象的，标准的杭帮菜，就是菜量对东北人来说有点不讲武德[辣眼睛],385224407,0
好家伙，看完视频一看点赞已经是23.3W了[热词系列_吹爆][热词系列_秀],908914,0
父女亲子档探店，有吐槽有亲情，挺不错的尝试。支持一下,464997,0
